process,arrival_time,burst_time
P0,31,2
P1,74,11
P2,94,15
P3,56,2
P4,34,18
P5,90,7
P6,4,15
P7,79,2
P8,1,14
P9,57,9
P10,98,20
P11,18,16
P12,95,2
P13,4,9
P14,77,4
P15,88,3
P16,79,15
P17,43,17
P18,93,3
P19,18,16
P20,91,14
P21,13,9
P22,0,8
P23,45,7
P24,82,18
P25,12,8
P26,93,7
P27,83,6
P28,22,19
P29,100,7
P30,57,5
P31,4,7
P32,66,17
P33,29,4
P34,75,17
P35,1,11
P36,65,5
P37,73,16
P38,16,4
P39,14,2
P40,57,20
P41,73,20
P42,77,3
P43,35,13
P44,96,5
P45,89,2
P46,14,10
P47,87,17
P48,7,4
P49,38,10
P50,30,6
P51,92,13
P52,83,18
P53,48,5
P54,90,11
P55,89,2
P56,30,10
P57,49,8
P58,60,8
P59,25,14
P60,19,20
P61,21,16
P62,56,16
P63,24,9
P64,96,1
P65,96,7
P66,42,2
P67,28,10
P68,67,9
P69,4,13
P70,16,9
P71,75,20
P72,47,15
P73,78,9
P74,7,15
P75,85,10
P76,11,6
P77,84,1
P78,47,16
P79,5,13
P80,5,12
P81,7,8
P82,0,13
P83,16,16
P84,50,4
P85,93,6
P86,53,15
P87,34,12
P88,93,7
P89,87,20
P90,36,13
P91,17,6
P92,66,16
P93,38,8
P94,53,17
P95,5,2
P96,67,4
P97,91,1
P98,96,16
P99,36,15
