process,arrival_time,burst_time
P0,0,4
P1,57,4
P2,24,7
P3,84,16
P4,63,10
P5,29,7
P6,47,3
P7,91,7
P8,62,14
P9,59,15
P10,30,17
P11,53,5
P12,51,10
P13,54,6
P14,37,3
P15,84,5
P16,6,4
P17,52,4
P18,69,16
P19,88,3
P20,17,15
P21,57,11
P22,65,8
P23,8,6
P24,24,2
P25,13,17
P26,97,5
P27,31,5
P28,87,12
P29,6,5
P30,60,16
P31,25,6
P32,35,3
P33,44,10
P34,61,14
P35,13,10
P36,6,20
P37,20,4
P38,7,16
P39,93,14
P40,60,16
P41,52,15
P42,89,4
P43,42,14
P44,91,16
P45,32,9
P46,19,12
P47,80,15
P48,19,6
P49,38,6
P50,48,8
P51,39,7
P52,18,6
P53,12,20
P54,4,14
P55,18,20
P56,74,13
P57,72,7
P58,89,10
P59,60,18
P60,10,12
P61,74,20
P62,55,16
P63,15,2
P64,87,18
P65,83,4
P66,37,11
P67,41,1
P68,20,3
P69,65,10
P70,69,18
P71,26,20
P72,11,9
P73,29,3
P74,35,4
P75,6,3
P76,74,6
P77,1,10
P78,75,2
P79,88,6
P80,64,3
P81,44,12
P82,73,20
P83,53,12
P84,90,10
P85,87,15
P86,33,1
P87,57,2
P88,44,8
P89,59,1
P90,47,11
P91,19,13
P92,69,16
P93,2,1
P94,99,8
P95,65,20
P96,49,8
P97,16,2
P98,13,3
P99,23,17
