process,arrival_time,burst_time
P0,14,20
P1,12,13
P2,93,16
P3,56,11
P4,74,1
P5,52,15
P6,33,9
P7,95,17
P8,4,5
P9,4,4
P10,15,7
P11,66,12
P12,46,3
P13,32,5
P14,15,2
P15,25,11
P16,6,2
P17,48,18
P18,45,17
P19,34,2
P20,42,10
P21,33,17
P22,90,11
P23,28,2
P24,83,11
P25,22,3
P26,44,13
P27,56,2
P28,34,2
P29,47,17
P30,3,13
P31,27,14
P32,82,11
P33,93,6
P34,25,17
P35,44,13
P36,81,11
P37,76,13
P38,37,16
P39,72,1
P40,12,17
P41,37,5
P42,62,12
P43,52,7
P44,9,14
P45,33,10
P46,20,9
P47,9,11
P48,66,5
P49,57,3
P50,32,4
P51,63,17
P52,86,19
P53,85,16
P54,33,2
P55,97,5
P56,20,10
P57,93,12
P58,32,7
P59,29,14
P60,15,14
P61,94,16
P62,80,17
P63,40,13
P64,87,8
P65,10,10
P66,17,8
P67,29,3
P68,66,18
P69,61,7
P70,8,17
P71,5,4
P72,49,11
P73,31,20
P74,1,1
P75,40,7
P76,35,17
P77,93,4
P78,48,20
P79,81,4
P80,35,20
P81,92,8
P82,42,11
P83,70,12
P84,57,16
P85,18,1
P86,10,2
P87,92,4
P88,36,4
P89,93,13
P90,63,1
P91,36,2
P92,90,11
P93,11,19
P94,97,2
P95,49,15
P96,93,7
P97,89,9
P98,95,1
P99,76,18
