process,arrival_time,burst_time
P0,37,16
P1,65,13
P2,72,3
P3,49,13
P4,27,14
P5,95,20
P6,100,1
P7,51,8
P8,12,10
P9,55,17
P10,68,4
P11,66,11
P12,31,8
P13,68,6
P14,3,16
P15,27,4
P16,78,7
P17,93,7
P18,81,3
P19,99,17
P20,50,5
P21,45,3
P22,50,8
P23,91,18
P24,39,19
P25,10,2
P26,88,4
P27,78,13
P28,100,12
P29,98,5
P30,35,18
P31,80,15
P32,9,7
P33,100,1
P34,5,5
P35,33,11
P36,70,20
P37,35,8
P38,9,20
P39,60,15
P40,4,6
P41,51,5
P42,35,4
P43,28,18
P44,52,17
P45,68,19
P46,95,19
P47,43,2
P48,12,18
P49,1,18
P50,56,18
P51,82,8
P52,62,17
P53,46,3
P54,27,18
P55,80,20
P56,22,3
P57,4,12
P58,97,12
P59,49,2
P60,23,12
P61,7,15
P62,37,6
P63,56,7
P64,9,3
P65,54,1
P66,85,20
P67,9,3
P68,45,12
P69,5,3
P70,33,11
P71,28,1
P72,63,5
P73,45,12
P74,13,10
P75,31,6
P76,42,9
P77,13,1
P78,91,16
P79,44,15
P80,35,11
P81,66,7
P82,77,4
P83,85,16
P84,0,5
P85,28,15
P86,46,11
P87,41,15
P88,1,18
P89,90,11
P90,28,8
P91,77,6
P92,51,19
P93,84,16
P94,21,6
P95,58,16
P96,99,19
P97,45,17
P98,6,7
P99,50,14
