process,arrival_time,burst_time
P0,38,2
P1,51,1
P2,45,12
P3,17,5
P4,34,1
P5,0,18
P6,27,14
P7,90,19
P8,72,14
P9,78,14
P10,70,9
P11,8,11
P12,99,8
P13,0,7
P14,11,1
P15,26,12
P16,19,19
P17,25,18
P18,88,19
P19,51,10
P20,60,5
P21,92,19
P22,60,17
P23,1,7
P24,28,3
P25,55,12
P26,22,18
P27,52,1
P28,84,11
P29,88,6
P30,8,13
P31,1,10
P32,93,18
P33,6,6
P34,32,9
P35,66,17
P36,56,7
P37,43,12
P38,16,4
P39,94,20
P40,96,2
P41,20,18
P42,29,20
P43,43,13
P44,57,11
P45,89,20
P46,9,5
P47,87,17
P48,46,12
P49,74,1
P50,23,17
P51,8,13
P52,5,19
P53,87,10
P54,23,20
P55,5,6
P56,71,15
P57,72,19
P58,69,9
P59,41,9
P60,15,20
P61,61,16
P62,18,9
P63,31,1
P64,98,19
P65,37,10
P66,24,5
P67,68,8
P68,47,19
P69,45,12
P70,38,19
P71,18,1
P72,73,12
P73,26,11
P74,26,12
P75,3,16
P76,71,10
P77,29,12
P78,65,15
P79,63,7
P80,88,6
P81,26,12
P82,45,11
P83,28,19
P84,28,12
P85,17,15
P86,5,9
P87,91,19
P88,40,3
P89,48,7
P90,58,17
P91,65,20
P92,3,1
P93,48,13
P94,96,9
P95,48,3
P96,44,3
P97,100,16
P98,27,5
P99,72,7
