process,arrival_time,burst_time
P0,87,2
P1,76,6
P2,91,10
P3,2,20
P4,10,1
P5,28,14
P6,87,1
P7,81,4
P8,29,4
P9,46,11
P10,74,12
P11,33,13
P12,54,5
P13,10,9
P14,63,14
P15,51,13
P16,56,20
P17,63,14
P18,37,9
P19,28,16
P20,4,5
P21,91,3
P22,66,1
P23,63,11
P24,87,14
P25,81,15
P26,45,1
P27,57,10
P28,37,16
P29,45,20
P30,37,11
P31,77,13
P32,74,5
P33,22,3
P34,29,12
P35,51,17
P36,83,4
P37,97,11
P38,23,9
P39,78,10
P40,73,8
P41,64,9
P42,92,1
P43,56,5
P44,83,19
P45,99,1
P46,12,14
P47,8,13
P48,55,2
P49,17,1
P50,1,11
P51,9,8
P52,44,1
P53,26,12
P54,85,16
P55,91,7
P56,20,19
P57,2,9
P58,88,4
P59,99,18
P60,100,2
P61,26,9
P62,34,7
P63,6,20
P64,0,6
P65,48,19
P66,8,3
P67,14,2
P68,20,14
P69,9,16
P70,73,3
P71,94,10
P72,1,1
P73,18,13
P74,16,13
P75,62,20
P76,52,11
P77,100,18
P78,77,14
P79,79,17
P80,44,4
P81,13,6
P82,61,7
P83,80,16
P84,25,8
P85,28,19
P86,82,17
P87,23,11
P88,36,6
P89,71,19
P90,70,19
P91,51,7
P92,21,16
P93,43,4
P94,69,20
P95,68,18
P96,68,3
P97,39,1
P98,46,7
P99,36,13
