process,arrival_time,burst_time
P0,84,6
P1,96,10
P2,71,4
P3,40,15
P4,7,1
P5,40,17
P6,49,16
P7,71,15
P8,5,13
P9,58,3
P10,47,14
P11,23,17
P12,32,15
P13,99,13
P14,32,1
P15,59,3
P16,42,10
P17,13,2
P18,57,8
P19,28,6
P20,98,20
P21,58,19
P22,96,17
P23,81,17
P24,22,17
P25,62,13
P26,80,12
P27,93,20
P28,81,14
P29,60,12
P30,66,5
P31,10,11
P32,19,12
P33,68,19
P34,10,17
P35,52,8
P36,92,1
P37,31,13
P38,35,7
P39,7,11
P40,65,2
P41,67,13
P42,48,15
P43,17,14
P44,37,4
P45,29,2
P46,68,12
P47,96,7
P48,85,17
P49,4,3
P50,30,18
P51,46,19
P52,76,6
P53,10,15
P54,69,5
P55,7,12
P56,74,13
P57,76,6
P58,81,13
P59,62,5
P60,85,20
P61,82,7
P62,28,19
P63,27,7
P64,36,15
P65,16,3
P66,57,10
P67,21,6
P68,3,3
P69,87,4
P70,30,11
P71,32,11
P72,70,17
P73,83,1
P74,0,8
P75,41,9
P76,39,10
P77,89,6
P78,71,15
P79,17,10
P80,36,17
P81,60,13
P82,57,18
P83,78,8
P84,64,16
P85,32,9
P86,65,17
P87,84,2
P88,40,4
P89,25,10
P90,76,11
P91,74,18
P92,80,7
P93,51,13
P94,1,20
P95,74,12
P96,12,18
P97,95,1
P98,100,3
P99,36,15
