process,arrival_time,burst_time
P0,86,13
P1,97,19
P2,37,9
P3,82,4
P4,60,20
P5,59,8
P6,83,17
P7,60,15
P8,3,10
P9,76,10
P10,88,11
P11,33,20
P12,58,12
P13,71,6
P14,7,20
P15,80,11
P16,0,16
P17,76,9
P18,44,6
P19,62,8
P20,43,3
P21,99,9
P22,21,8
P23,87,18
P24,13,17
P25,24,1
P26,39,13
P27,96,1
P28,100,13
P29,2,6
P30,10,9
P31,94,8
P32,50,3
P33,69,9
P34,30,5
P35,13,10
P36,14,2
P37,85,8
P38,46,17
P39,73,19
P40,51,5
P41,69,7
P42,84,2
P43,55,10
P44,74,5
P45,92,18
P46,81,17
P47,27,12
P48,34,9
P49,11,8
P50,92,14
P51,3,14
P52,36,14
P53,46,7
P54,56,12
P55,28,7
P56,72,15
P57,64,8
P58,12,19
P59,23,13
P60,59,8
P61,63,11
P62,97,15
P63,41,1
P64,51,18
P65,37,12
P66,41,20
P67,81,6
P68,41,5
P69,19,18
P70,31,20
P71,79,16
P72,18,20
P73,50,13
P74,95,4
P75,86,2
P76,26,14
P77,66,1
P78,35,16
P79,84,1
P80,46,12
P81,28,1
P82,66,1
P83,50,19
P84,21,10
P85,14,18
P86,12,10
P87,10,18
P88,62,19
P89,24,7
P90,46,1
P91,32,19
P92,10,11
P93,81,1
P94,79,20
P95,63,1
P96,99,1
P97,58,12
P98,87,1
P99,39,8
