process,arrival_time,burst_time
P0,97,10
P1,82,2
P2,34,17
P3,37,7
P4,79,11
P5,53,7
P6,65,9
P7,56,10
P8,26,15
P9,0,9
P10,35,3
P11,7,18
P12,44,9
P13,70,16
P14,23,4
P15,65,16
P16,81,18
P17,56,16
P18,100,15
P19,81,4
P20,25,12
P21,29,10
P22,23,10
P23,77,14
P24,37,19
P25,46,13
P26,90,19
P27,6,2
P28,27,5
P29,33,5
P30,93,1
P31,46,15
P32,86,5
P33,80,18
P34,37,7
P35,35,8
P36,53,14
P37,67,4
P38,38,16
P39,30,6
P40,63,16
P41,60,7
P42,1,10
P43,91,5
P44,70,19
P45,36,2
P46,82,1
P47,4,19
P48,16,8
P49,52,2
P50,64,13
P51,61,16
P52,99,10
P53,84,4
P54,100,10
P55,55,13
P56,47,3
P57,0,18
P58,16,10
P59,8,8
P60,78,12
P61,3,15
P62,88,16
P63,18,2
P64,91,19
P65,70,13
P66,81,17
P67,21,13
P68,35,9
P69,12,9
P70,98,1
P71,86,12
P72,60,2
P73,48,17
P74,37,6
P75,95,15
P76,71,3
P77,66,10
P78,1,18
P79,45,20
P80,41,11
P81,60,16
P82,17,15
P83,42,15
P84,65,20
P85,45,15
P86,69,14
P87,79,3
P88,80,4
P89,45,19
P90,32,15
P91,31,1
P92,12,20
P93,8,8
P94,94,17
P95,15,19
P96,52,19
P97,14,12
P98,79,10
P99,66,19
