process,arrival_time,burst_time
P0,95,11
P1,4,17
P2,66,1
P3,17,5
P4,1,15
P5,93,8
P6,99,10
P7,92,4
P8,19,17
P9,10,15
P10,12,6
P11,14,9
P12,39,16
P13,60,4
P14,64,15
P15,29,11
P16,23,19
P17,1,18
P18,39,13
P19,7,8
P20,63,10
P21,53,7
P22,37,11
P23,15,13
P24,48,18
P25,68,2
P26,19,13
P27,73,13
P28,66,10
P29,18,6
P30,92,12
P31,81,5
P32,10,10
P33,28,15
P34,7,5
P35,92,8
P36,77,15
P37,9,1
P38,77,13
P39,64,12
P40,50,9
P41,39,20
P42,5,16
P43,66,9
P44,56,1
P45,26,16
P46,34,17
P47,38,18
P48,82,8
P49,69,10
P50,75,15
P51,77,18
P52,10,19
P53,41,12
P54,85,11
P55,60,12
P56,17,7
P57,22,1
P58,67,20
P59,37,14
P60,57,13
P61,13,15
P62,72,11
P63,20,14
P64,43,14
P65,61,6
P66,40,15
P67,80,13
P68,48,8
P69,24,12
P70,98,17
P71,47,13
P72,67,20
P73,76,19
P74,84,12
P75,87,2
P76,58,18
P77,12,10
P78,85,10
P79,83,12
P80,12,20
P81,36,6
P82,20,12
P83,8,11
P84,91,18
P85,63,5
P86,97,2
P87,93,6
P88,77,14
P89,94,18
P90,16,3
P91,71,19
P92,72,1
P93,32,19
P94,30,3
P95,50,7
P96,61,4
P97,94,8
P98,56,14
P99,25,18
