process,arrival_time,burst_time
P0,5,4
P1,65,9
P2,1,9
P3,29,13
P4,15,6
P5,57,5
P6,93,15
P7,55,4
P8,28,13
P9,10,15
P10,81,9
P11,57,12
P12,99,13
P13,37,12
P14,78,12
P15,26,9
P16,4,16
P17,65,5
P18,38,6
P19,78,11
P20,86,20
P21,29,3
P22,74,13
P23,42,19
P24,58,4
P25,9,9
P26,97,20
P27,91,11
P28,18,14
P29,87,1
P30,43,19
P31,65,11
P32,28,13
P33,17,17
P34,36,17
P35,33,11
P36,49,3
P37,20,10
P38,90,13
P39,45,12
P40,15,1
P41,0,18
P42,61,20
P43,33,9
P44,71,1
P45,25,18
P46,65,16
P47,56,3
P48,30,3
P49,11,3
P50,65,19
P51,95,3
P52,24,11
P53,81,5
P54,16,1
P55,100,3
P56,99,5
P57,51,15
P58,20,13
P59,2,18
P60,90,5
P61,28,11
P62,13,5
P63,25,16
P64,22,1
P65,2,1
P66,90,4
P67,38,13
P68,92,10
P69,16,6
P70,52,17
P71,35,17
P72,49,14
P73,47,12
P74,26,18
P75,95,18
P76,92,4
P77,54,8
P78,100,5
P79,18,15
P80,72,18
P81,43,13
P82,95,20
P83,89,16
P84,13,6
P85,2,11
P86,82,8
P87,87,8
P88,44,14
P89,14,9
P90,62,9
P91,19,5
P92,92,11
P93,7,6
P94,20,4
P95,60,20
P96,31,1
P97,29,12
P98,21,14
P99,76,13
