process,arrival_time,burst_time
P0,29,15
P1,55,8
P2,3,20
P3,31,14
P4,18,1
P5,48,2
P6,20,5
P7,41,20
P8,80,4
P9,98,12
P10,94,3
P11,71,4
P12,45,10
P13,68,4
P14,13,15
P15,97,19
P16,25,2
P17,8,8
P18,23,9
P19,92,16
P20,100,6
P21,97,9
P22,39,7
P23,83,11
P24,86,12
P25,45,9
P26,83,20
P27,54,15
P28,11,8
P29,85,14
P30,45,9
P31,80,10
P32,61,9
P33,10,5
P34,91,15
P35,61,15
P36,32,17
P37,93,15
P38,25,14
P39,20,12
P40,90,17
P41,83,2
P42,53,2
P43,32,18
P44,55,12
P45,8,19
P46,14,16
P47,61,1
P48,42,13
P49,74,18
P50,38,6
P51,9,15
P52,46,9
P53,42,14
P54,32,2
P55,60,19
P56,60,15
P57,61,8
P58,4,14
P59,71,15
P60,13,2
P61,52,2
P62,47,10
P63,4,2
P64,4,17
P65,72,19
P66,25,7
P67,74,20
P68,55,12
P69,95,11
P70,84,3
P71,22,13
P72,50,18
P73,22,18
P74,46,13
P75,76,11
P76,35,16
P77,65,15
P78,7,20
P79,17,6
P80,89,13
P81,55,10
P82,56,6
P83,75,20
P84,8,18
P85,73,20
P86,11,16
P87,50,2
P88,56,18
P89,44,18
P90,7,12
P91,89,15
P92,61,6
P93,33,10
P94,90,5
P95,96,20
P96,66,20
P97,95,9
P98,10,10
P99,74,13
