process,arrival_time,burst_time
P0,13,5
P1,73,19
P2,69,1
P3,90,9
P4,36,1
P5,70,3
P6,23,9
P7,97,7
P8,83,5
P9,10,13
P10,5,16
P11,72,13
P12,59,7
P13,100,15
P14,75,5
P15,73,2
P16,15,13
P17,9,14
P18,97,17
P19,85,10
P20,14,4
P21,22,17
P22,53,12
P23,9,14
P24,33,17
P25,5,5
P26,53,11
P27,5,16
P28,92,16
P29,77,14
P30,52,5
P31,95,15
P32,88,7
P33,68,16
P34,76,2
P35,96,6
P36,56,2
P37,49,4
P38,27,2
P39,98,20
P40,5,5
P41,71,16
P42,92,8
P43,81,1
P44,45,12
P45,67,16
P46,73,15
P47,23,12
P48,51,9
P49,4,19
P50,50,8
P51,63,10
P52,94,19
P53,46,9
P54,49,17
P55,97,7
P56,93,11
P57,26,12
P58,39,8
P59,68,4
P60,44,14
P61,65,19
P62,8,10
P63,84,8
P64,92,12
P65,38,5
P66,14,13
P67,3,10
P68,85,14
P69,2,13
P70,17,14
P71,17,11
P72,37,18
P73,54,7
P74,28,8
P75,89,20
P76,74,2
P77,56,6
P78,37,11
P79,35,18
P80,27,18
P81,7,4
P82,34,10
P83,21,4
P84,52,14
P85,45,4
P86,24,8
P87,54,5
P88,99,16
P89,51,4
P90,59,12
P91,31,4
P92,46,3
P93,61,15
P94,89,9
P95,15,12
P96,68,12
P97,96,15
P98,30,16
P99,80,13
