process,arrival_time,burst_time
P0,88,14
P1,28,8
P2,47,2
P3,37,13
P4,24,1
P5,65,18
P6,82,14
P7,83,2
P8,71,6
P9,33,19
P10,15,16
P11,95,14
P12,70,9
P13,75,4
P14,54,3
P15,57,2
P16,45,12
P17,21,19
P18,70,8
P19,49,18
P20,74,4
P21,27,5
P22,29,1
P23,7,20
P24,95,17
P25,54,18
P26,74,1
P27,63,7
P28,64,5
P29,11,16
P30,21,4
P31,60,18
P32,86,16
P33,24,7
P34,27,12
P35,96,11
P36,35,2
P37,63,14
P38,91,10
P39,80,9
P40,28,15
P41,84,5
P42,56,1
P43,91,18
P44,40,17
P45,2,8
P46,32,6
P47,86,18
P48,69,17
P49,7,9
P50,8,16
P51,79,11
P52,27,14
P53,25,1
P54,51,15
P55,76,1
P56,71,8
P57,68,12
P58,45,4
P59,8,15
P60,83,6
P61,82,14
P62,8,8
P63,24,2
P64,94,12
P65,65,10
P66,8,5
P67,8,4
P68,10,17
P69,58,1
P70,28,12
P71,89,15
P72,7,4
P73,99,1
P74,89,3
P75,25,7
P76,57,14
P77,28,3
P78,18,5
P79,39,16
P80,96,6
P81,46,11
P82,32,12
P83,87,18
P84,69,1
P85,49,18
P86,5,3
P87,81,4
P88,31,4
P89,81,14
P90,30,18
P91,21,1
P92,7,7
P93,61,11
P94,7,7
P95,9,9
P96,90,4
P97,72,3
P98,35,10
P99,61,12
