process,arrival_time,burst_time
P0,97,7
P1,96,18
P2,15,15
P3,36,17
P4,99,20
P5,70,6
P6,13,8
P7,13,10
P8,85,3
P9,27,13
P10,79,8
P11,34,19
P12,58,16
P13,22,11
P14,74,20
P15,48,18
P16,92,8
P17,46,3
P18,31,5
P19,35,5
P20,81,4
P21,73,11
P22,44,7
P23,59,1
P24,37,11
P25,30,15
P26,80,18
P27,80,18
P28,11,9
P29,94,4
P30,20,9
P31,25,11
P32,41,7
P33,88,15
P34,14,20
P35,74,10
P36,31,16
P37,74,18
P38,53,9
P39,21,12
P40,100,19
P41,73,13
P42,47,7
P43,79,6
P44,5,12
P45,23,7
P46,79,11
P47,86,18
P48,14,5
P49,21,13
P50,31,12
P51,91,18
P52,56,4
P53,48,12
P54,88,15
P55,95,17
P56,90,7
P57,86,18
P58,50,6
P59,53,1
P60,75,16
P61,48,18
P62,50,1
P63,63,6
P64,38,18
P65,24,17
P66,3,4
P67,99,12
P68,83,9
P69,7,7
P70,28,17
P71,80,13
P72,59,3
P73,47,12
P74,10,8
P75,96,20
P76,94,1
P77,95,7
P78,65,20
P79,77,18
P80,45,3
P81,45,7
P82,78,11
P83,98,15
P84,17,1
P85,60,16
P86,95,9
P87,31,7
P88,90,3
P89,65,11
P90,77,7
P91,25,2
P92,28,12
P93,100,9
P94,76,14
P95,23,14
P96,44,8
P97,35,18
P98,91,5
P99,41,2
