process,arrival_time,burst_time
P0,46,16
P1,84,7
P2,40,8
P3,78,19
P4,92,8
P5,59,13
P6,42,19
P7,70,3
P8,89,3
P9,72,20
P10,76,20
P11,29,9
P12,28,2
P13,18,10
P14,21,16
P15,55,18
P16,80,9
P17,87,18
P18,83,18
P19,52,9
P20,46,8
P21,35,10
P22,17,9
P23,69,16
P24,0,14
P25,45,10
P26,72,19
P27,80,2
P28,46,3
P29,83,12
P30,51,1
P31,33,12
P32,26,2
P33,96,16
P34,1,7
P35,10,20
P36,48,12
P37,31,16
P38,27,4
P39,13,15
P40,87,14
P41,24,18
P42,35,18
P43,38,19
P44,30,15
P45,89,7
P46,35,4
P47,54,12
P48,6,16
P49,29,2
P50,14,6
P51,73,13
P52,24,13
P53,36,2
P54,86,20
P55,0,20
P56,27,15
P57,89,18
P58,49,11
P59,1,17
P60,12,12
P61,19,6
P62,57,1
P63,9,3
P64,79,3
P65,66,11
P66,45,10
P67,83,8
P68,47,20
P69,29,3
P70,2,11
P71,79,6
P72,6,16
P73,16,12
P74,67,1
P75,5,18
P76,34,8
P77,44,10
P78,5,3
P79,70,6
P80,11,1
P81,81,6
P82,38,10
P83,94,13
P84,59,7
P85,43,16
P86,9,12
P87,22,16
P88,26,7
P89,43,6
P90,11,20
P91,76,16
P92,79,10
P93,27,19
P94,1,8
P95,9,20
P96,59,11
P97,77,8
P98,11,11
P99,88,11
