process,arrival_time,burst_time
P0,70,19
P1,41,7
P2,42,11
P3,53,16
P4,43,17
P5,31,18
P6,88,10
P7,95,11
P8,78,13
P9,11,1
P10,100,17
P11,83,9
P12,99,5
P13,74,10
P14,5,13
P15,53,2
P16,22,17
P17,96,20
P18,50,19
P19,44,1
P20,33,19
P21,4,16
P22,64,12
P23,28,3
P24,51,20
P25,66,14
P26,74,5
P27,54,13
P28,27,13
P29,9,16
P30,22,2
P31,64,19
P32,41,5
P33,68,7
P34,62,5
P35,95,19
P36,9,6
P37,77,6
P38,37,16
P39,50,13
P40,12,15
P41,15,9
P42,29,9
P43,71,4
P44,46,7
P45,72,15
P46,83,16
P47,51,13
P48,88,2
P49,98,10
P50,82,10
P51,40,7
P52,17,20
P53,83,16
P54,69,14
P55,16,1
P56,4,3
P57,84,8
P58,68,15
P59,27,20
P60,10,6
P61,87,5
P62,34,2
P63,42,4
P64,94,10
P65,59,1
P66,79,5
P67,2,12
P68,65,10
P69,59,16
P70,41,14
P71,91,16
P72,69,16
P73,17,13
P74,34,10
P75,27,1
P76,84,13
P77,45,5
P78,70,14
P79,23,9
P80,25,5
P81,61,20
P82,1,18
P83,24,9
P84,8,9
P85,55,5
P86,100,10
P87,49,8
P88,0,7
P89,90,2
P90,18,19
P91,48,14
P92,77,18
P93,51,5
P94,6,17
P95,44,10
P96,52,16
P97,11,4
P98,3,4
P99,56,17
