process,arrival_time,burst_time
P0,76,3
P1,1,2
P2,15,3
P3,9,5
P4,80,20
P5,100,13
P6,36,2
P7,80,2
P8,91,5
P9,83,18
P10,14,16
P11,55,9
P12,98,4
P13,99,16
P14,42,5
P15,91,11
P16,56,19
P17,77,8
P18,41,19
P19,18,6
P20,80,15
P21,54,9
P22,84,2
P23,70,8
P24,25,2
P25,23,15
P26,61,11
P27,71,18
P28,37,4
P29,58,9
P30,45,9
P31,32,14
P32,31,14
P33,43,7
P34,76,11
P35,2,17
P36,23,11
P37,29,4
P38,52,20
P39,67,19
P40,64,16
P41,22,11
P42,32,8
P43,98,17
P44,4,1
P45,89,12
P46,27,14
P47,66,4
P48,32,6
P49,59,1
P50,93,9
P51,17,18
P52,50,19
P53,87,10
P54,68,3
P55,70,4
P56,36,5
P57,73,18
P58,92,1
P59,23,16
P60,10,8
P61,2,12
P62,33,9
P63,100,16
P64,8,8
P65,62,15
P66,80,14
P67,19,7
P68,35,18
P69,74,14
P70,81,18
P71,81,20
P72,81,11
P73,88,6
P74,52,16
P75,86,4
P76,31,12
P77,48,17
P78,59,4
P79,3,9
P80,55,16
P81,40,12
P82,89,20
P83,74,16
P84,91,6
P85,100,11
P86,16,19
P87,97,4
P88,39,5
P89,78,18
P90,71,18
P91,69,14
P92,95,16
P93,32,10
P94,66,4
P95,69,2
P96,60,2
P97,29,12
P98,41,20
P99,93,8
