process,arrival_time,burst_time
P0,59,13
P1,15,15
P2,57,3
P3,52,14
P4,42,12
P5,27,7
P6,65,3
P7,21,6
P8,79,7
P9,50,4
P10,57,20
P11,13,11
P12,100,6
P13,78,8
P14,28,2
P15,26,13
P16,77,15
P17,17,16
P18,74,7
P19,5,8
P20,19,18
P21,89,17
P22,92,9
P23,80,18
P24,96,4
P25,6,20
P26,6,5
P27,99,12
P28,38,8
P29,32,5
P30,88,16
P31,100,10
P32,71,19
P33,18,9
P34,52,6
P35,46,13
P36,29,6
P37,95,16
P38,52,19
P39,8,6
P40,29,8
P41,64,8
P42,71,13
P43,93,15
P44,77,5
P45,43,5
P46,77,8
P47,61,18
P48,8,9
P49,93,3
P50,61,4
P51,92,5
P52,39,9
P53,56,18
P54,83,17
P55,16,12
P56,44,4
P57,45,19
P58,88,9
P59,0,14
P60,77,19
P61,15,3
P62,22,5
P63,88,5
P64,82,19
P65,86,4
P66,85,1
P67,49,20
P68,88,19
P69,36,3
P70,97,14
P71,49,20
P72,95,6
P73,73,1
P74,70,14
P75,21,2
P76,49,2
P77,85,9
P78,28,7
P79,28,4
P80,96,16
P81,97,4
P82,37,20
P83,68,18
P84,50,3
P85,95,1
P86,60,15
P87,74,3
P88,88,16
P89,94,11
P90,77,6
P91,55,19
P92,54,10
P93,51,6
P94,28,16
P95,62,1
P96,54,11
P97,16,20
P98,66,10
P99,79,17
