process,arrival_time,burst_time
P0,20,10
P1,96,12
P2,55,3
P3,50,18
P4,53,14
P5,12,9
P6,73,15
P7,16,10
P8,36,13
P9,56,13
P10,58,9
P11,22,20
P12,50,7
P13,29,10
P14,27,9
P15,16,12
P16,48,1
P17,29,5
P18,70,5
P19,36,19
P20,34,17
P21,10,4
P22,63,11
P23,96,8
P24,97,20
P25,100,10
P26,80,8
P27,77,19
P28,60,19
P29,85,2
P30,60,13
P31,10,6
P32,30,16
P33,97,20
P34,68,4
P35,11,17
P36,43,9
P37,89,14
P38,46,7
P39,19,3
P40,44,9
P41,20,2
P42,74,14
P43,71,15
P44,69,4
P45,20,18
P46,6,19
P47,55,9
P48,63,11
P49,90,14
P50,5,8
P51,51,3
P52,2,18
P53,98,18
P54,0,14
P55,0,13
P56,83,16
P57,85,8
P58,15,13
P59,24,2
P60,0,15
P61,79,3
P62,59,2
P63,12,4
P64,57,13
P65,47,19
P66,51,14
P67,80,12
P68,14,4
P69,19,4
P70,31,10
P71,47,13
P72,5,15
P73,53,3
P74,57,8
P75,65,2
P76,9,20
P77,50,10
P78,61,10
P79,85,16
P80,93,2
P81,46,7
P82,69,19
P83,72,14
P84,5,13
P85,10,19
P86,80,6
P87,66,18
P88,34,19
P89,62,3
P90,7,5
P91,73,13
P92,61,1
P93,88,9
P94,57,19
P95,74,17
P96,35,20
P97,35,11
P98,41,4
P99,75,11
