process,arrival_time,burst_time
P0,48,4
P1,73,15
P2,53,10
P3,52,13
P4,40,2
P5,57,19
P6,15,11
P7,85,8
P8,43,15
P9,56,9
P10,81,3
P11,35,9
P12,13,8
P13,69,2
P14,59,14
P15,11,2
P16,31,17
P17,100,13
P18,18,4
P19,43,16
P20,100,17
P21,89,1
P22,1,7
P23,74,17
P24,80,13
P25,14,6
P26,79,6
P27,38,15
P28,31,8
P29,67,19
P30,41,7
P31,8,12
P32,61,5
P33,56,6
P34,67,15
P35,56,19
P36,48,7
P37,29,18
P38,51,8
P39,62,10
P40,66,6
P41,40,1
P42,4,20
P43,23,4
P44,32,6
P45,99,3
P46,44,3
P47,68,12
P48,14,14
P49,83,17
P50,28,2
P51,67,5
P52,8,10
P53,10,15
P54,3,18
P55,78,2
P56,78,2
P57,14,2
P58,56,8
P59,2,11
P60,82,12
P61,20,1
P62,55,20
P63,70,10
P64,9,18
P65,27,18
P66,44,3
P67,68,13
P68,24,1
P69,7,7
P70,54,12
P71,38,3
P72,94,1
P73,11,20
P74,46,18
P75,5,19
P76,28,17
P77,81,1
P78,71,5
P79,97,2
P80,47,14
P81,28,11
P82,31,14
P83,49,20
P84,58,20
P85,100,14
P86,58,17
P87,45,11
P88,23,8
P89,90,9
P90,57,11
P91,48,9
P92,67,14
P93,18,9
P94,16,20
P95,57,7
P96,13,2
P97,39,7
P98,35,19
P99,51,17
