process,arrival_time,burst_time
P0,48,13
P1,58,6
P2,64,11
P3,9,15
P4,16,8
P5,40,11
P6,28,10
P7,47,11
P8,16,3
P9,78,5
P10,31,18
P11,65,15
P12,72,9
P13,46,5
P14,51,15
P15,89,19
P16,49,11
P17,29,5
P18,86,20
P19,20,3
P20,33,18
P21,25,8
P22,41,12
P23,94,11
P24,7,1
P25,71,16
P26,25,10
P27,9,7
P28,89,18
P29,37,11
P30,38,11
P31,47,19
P32,97,1
P33,88,2
P34,37,15
P35,45,13
P36,57,9
P37,27,9
P38,29,11
P39,18,17
P40,13,9
P41,8,20
P42,36,12
P43,49,6
P44,32,19
P45,19,7
P46,46,19
P47,95,2
P48,24,11
P49,78,7
P50,47,14
P51,58,20
P52,75,12
P53,14,5
P54,36,3
P55,69,11
P56,45,8
P57,32,16
P58,75,17
P59,1,20
P60,20,13
P61,48,17
P62,98,11
P63,59,12
P64,73,16
P65,1,15
P66,86,5
P67,59,20
P68,30,2
P69,71,8
P70,58,7
P71,62,18
P72,83,15
P73,5,10
P74,19,18
P75,94,5
P76,75,15
P77,9,5
P78,71,16
P79,45,11
P80,24,15
P81,86,9
P82,92,6
P83,99,14
P84,80,11
P85,17,1
P86,56,20
P87,42,12
P88,53,8
P89,14,8
P90,33,11
P91,24,4
P92,98,7
P93,48,11
P94,8,13
P95,14,5
P96,17,14
P97,0,12
P98,6,9
P99,26,10
