process,arrival_time,burst_time
P0,78,19
P1,29,19
P2,20,18
P3,94,9
P4,25,16
P5,93,19
P6,92,5
P7,57,11
P8,14,8
P9,69,8
P10,20,17
P11,65,14
P12,70,9
P13,2,17
P14,67,20
P15,21,6
P16,53,10
P17,59,6
P18,88,18
P19,6,10
P20,65,4
P21,52,20
P22,12,15
P23,43,8
P24,92,5
P25,33,8
P26,5,15
P27,17,14
P28,27,17
P29,56,4
P30,8,20
P31,27,20
P32,16,5
P33,53,8
P34,65,11
P35,25,7
P36,48,18
P37,20,5
P38,100,5
P39,78,18
P40,31,13
P41,53,4
P42,24,7
P43,74,13
P44,13,18
P45,49,6
P46,78,9
P47,41,18
P48,6,5
P49,3,1
P50,75,10
P51,95,18
P52,28,3
P53,10,13
P54,16,13
P55,87,11
P56,3,19
P57,8,13
P58,52,19
P59,10,2
P60,54,16
P61,94,19
P62,23,3
P63,64,1
P64,4,3
P65,6,20
P66,44,17
P67,4,4
P68,88,3
P69,54,16
P70,45,20
P71,41,13
P72,91,12
P73,24,10
P74,69,10
P75,100,16
P76,99,15
P77,54,1
P78,22,18
P79,98,11
P80,99,19
P81,91,11
P82,70,10
P83,100,19
P84,63,8
P85,13,18
P86,26,1
P87,1,10
P88,26,9
P89,95,13
P90,16,16
P91,49,18
P92,10,17
P93,63,3
P94,31,17
P95,1,6
P96,30,10
P97,76,1
P98,82,9
P99,54,5
