process,arrival_time,burst_time
P0,89,2
P1,70,9
P2,62,15
P3,30,4
P4,14,1
P5,12,6
P6,17,7
P7,57,16
P8,35,19
P9,77,17
P10,100,4
P11,52,5
P12,78,9
P13,99,3
P14,7,7
P15,36,12
P16,21,5
P17,73,5
P18,80,10
P19,80,1
P20,2,19
P21,10,4
P22,4,12
P23,7,6
P24,74,20
P25,12,13
P26,41,14
P27,6,9
P28,86,13
P29,2,19
P30,76,11
P31,3,13
P32,55,12
P33,72,1
P34,20,1
P35,37,1
P36,36,13
P37,70,14
P38,14,19
P39,32,10
P40,35,3
P41,25,7
P42,71,5
P43,16,17
P44,4,18
P45,100,18
P46,66,8
P47,42,17
P48,64,12
P49,20,1
P50,32,7
P51,24,2
P52,47,5
P53,71,17
P54,41,4
P55,63,7
P56,69,6
P57,95,14
P58,26,13
P59,92,16
P60,73,2
P61,98,5
P62,65,6
P63,98,8
P64,87,11
P65,93,16
P66,40,6
P67,62,18
P68,45,2
P69,30,7
P70,53,20
P71,79,3
P72,22,4
P73,41,3
P74,74,18
P75,4,14
P76,78,18
P77,96,1
P78,55,7
P79,14,17
P80,73,17
P81,81,14
P82,33,2
P83,96,14
P84,96,10
P85,92,19
P86,58,14
P87,44,13
P88,63,15
P89,17,2
P90,71,20
P91,51,12
P92,49,13
P93,7,1
P94,70,3
P95,19,14
P96,64,5
P97,74,17
P98,45,6
P99,38,14
