process,arrival_time,burst_time
P0,30,3
P1,69,10
P2,89,3
P3,14,9
P4,88,11
P5,10,18
P6,74,11
P7,97,3
P8,99,4
P9,77,11
P10,4,7
P11,94,17
P12,71,20
P13,67,14
P14,26,19
P15,66,18
P16,90,13
P17,82,13
P18,0,19
P19,55,3
P20,12,20
P21,25,5
P22,78,4
P23,15,3
P24,77,17
P25,55,9
P26,65,16
P27,60,5
P28,29,8
P29,14,6
P30,44,8
P31,7,18
P32,72,20
P33,70,9
P34,36,5
P35,91,16
P36,41,19
P37,48,9
P38,48,11
P39,93,8
P40,21,19
P41,57,20
P42,50,10
P43,43,6
P44,91,10
P45,34,8
P46,91,6
P47,29,1
P48,34,18
P49,38,8
P50,70,13
P51,32,13
P52,79,5
P53,84,6
P54,85,1
P55,21,11
P56,66,18
P57,87,11
P58,91,20
P59,98,19
P60,28,11
P61,92,6
P62,69,8
P63,100,7
P64,62,2
P65,69,2
P66,40,18
P67,46,7
P68,7,13
P69,77,4
P70,47,6
P71,91,19
P72,100,1
P73,74,5
P74,98,11
P75,99,13
P76,49,3
P77,2,5
P78,39,6
P79,15,18
P80,21,8
P81,98,20
P82,78,15
P83,8,6
P84,93,1
P85,100,16
P86,83,14
P87,2,12
P88,33,5
P89,42,20
P90,90,5
P91,70,15
P92,48,12
P93,99,12
P94,12,2
P95,85,10
P96,69,1
P97,77,16
P98,45,10
P99,10,11
