process,arrival_time,burst_time
P0,50,8
P1,82,15
P2,62,7
P3,82,10
P4,27,20
P5,14,8
P6,74,16
P7,68,7
P8,98,13
P9,22,7
P10,55,16
P11,0,18
P12,31,5
P13,58,2
P14,40,4
P15,8,14
P16,81,17
P17,36,17
P18,18,2
P19,30,19
P20,57,13
P21,48,8
P22,86,1
P23,18,6
P24,39,9
P25,38,11
P26,98,1
P27,15,6
P28,2,3
P29,0,1
P30,75,1
P31,75,17
P32,14,20
P33,42,4
P34,7,17
P35,1,3
P36,91,14
P37,17,19
P38,62,7
P39,78,3
P40,54,12
P41,81,3
P42,96,19
P43,38,19
P44,73,2
P45,61,9
P46,97,19
P47,35,3
P48,98,19
P49,90,20
P50,69,5
P51,57,15
P52,99,19
P53,14,5
P54,42,7
P55,58,17
P56,9,14
P57,74,19
P58,56,12
P59,85,20
P60,68,6
P61,10,19
P62,82,19
P63,39,2
P64,29,10
P65,54,17
P66,27,10
P67,70,1
P68,32,19
P69,91,8
P70,57,2
P71,34,10
P72,45,2
P73,56,17
P74,59,6
P75,80,11
P76,78,17
P77,53,4
P78,7,5
P79,87,1
P80,31,2
P81,37,6
P82,68,1
P83,94,4
P84,35,5
P85,59,1
P86,99,20
P87,83,17
P88,55,14
P89,31,19
P90,35,3
P91,93,9
P92,55,6
P93,4,4
P94,15,8
P95,86,10
P96,46,12
P97,2,17
P98,30,14
P99,82,6
