process,arrival_time,burst_time
P0,82,5
P1,59,18
P2,1,18
P3,50,1
P4,17,12
P5,6,2
P6,100,8
P7,6,6
P8,73,14
P9,42,5
P10,64,17
P11,13,17
P12,60,17
P13,25,19
P14,26,19
P15,18,18
P16,27,11
P17,86,8
P18,24,17
P19,17,19
P20,99,20
P21,78,13
P22,7,5
P23,80,7
P24,72,20
P25,96,15
P26,32,4
P27,15,3
P28,23,12
P29,11,11
P30,66,3
P31,51,12
P32,97,18
P33,28,17
P34,3,8
P35,69,15
P36,99,6
P37,53,17
P38,94,11
P39,46,13
P40,30,19
P41,79,14
P42,47,9
P43,11,14
P44,8,5
P45,13,1
P46,27,2
P47,59,18
P48,67,13
P49,99,15
P50,10,16
P51,64,10
P52,75,17
P53,60,6
P54,81,1
P55,43,20
P56,48,16
P57,67,16
P58,57,2
P59,32,11
P60,52,6
P61,65,18
P62,35,20
P63,49,8
P64,64,9
P65,5,13
P66,23,10
P67,54,9
P68,42,2
P69,41,7
P70,57,8
P71,45,7
P72,59,3
P73,85,7
P74,57,5
P75,63,18
P76,42,6
P77,40,17
P78,12,16
P79,44,10
P80,53,3
P81,58,16
P82,63,7
P83,43,14
P84,53,7
P85,20,18
P86,36,12
P87,17,20
P88,92,13
P89,34,19
P90,0,2
P91,50,6
P92,1,9
P93,10,20
P94,23,17
P95,67,12
P96,56,14
P97,41,17
P98,86,14
P99,82,10
