process,arrival_time,burst_time
P0,30,18
P1,30,8
P2,7,1
P3,99,20
P4,83,19
P5,59,9
P6,62,16
P7,18,7
P8,26,11
P9,100,10
P10,37,14
P11,54,18
P12,92,20
P13,33,19
P14,59,14
P15,55,19
P16,4,17
P17,10,2
P18,87,4
P19,35,18
P20,14,7
P21,30,16
P22,97,17
P23,99,18
P24,26,9
P25,56,20
P26,88,7
P27,90,18
P28,86,7
P29,87,10
P30,38,19
P31,10,12
P32,37,20
P33,14,12
P34,55,8
P35,46,1
P36,92,12
P37,45,8
P38,63,16
P39,51,2
P40,90,14
P41,70,12
P42,65,16
P43,14,7
P44,1,14
P45,18,5
P46,48,4
P47,5,8
P48,56,17
P49,92,13
P50,84,15
P51,49,8
P52,34,20
P53,30,18
P54,96,2
P55,37,13
P56,40,11
P57,83,20
P58,44,16
P59,8,15
P60,57,5
P61,35,13
P62,40,1
P63,67,13
P64,3,16
P65,69,1
P66,33,6
P67,45,19
P68,94,18
P69,58,10
P70,20,3
P71,100,17
P72,39,12
P73,77,3
P74,34,6
P75,84,16
P76,19,9
P77,67,6
P78,81,16
P79,2,5
P80,39,3
P81,83,5
P82,68,15
P83,62,15
P84,29,2
P85,47,7
P86,97,15
P87,65,15
P88,74,16
P89,32,1
P90,42,1
P91,69,2
P92,58,11
P93,8,20
P94,6,7
P95,12,3
P96,6,13
P97,33,5
P98,1,12
P99,51,5
