process,arrival_time,burst_time
P0,20,14
P1,99,11
P2,6,2
P3,37,12
P4,18,5
P5,25,5
P6,24,6
P7,31,20
P8,93,10
P9,70,13
P10,31,8
P11,75,10
P12,47,4
P13,9,16
P14,37,9
P15,23,6
P16,64,13
P17,99,11
P18,41,2
P19,22,8
P20,79,20
P21,90,8
P22,15,6
P23,13,18
P24,55,13
P25,18,6
P26,38,9
P27,13,20
P28,40,7
P29,37,6
P30,92,8
P31,7,17
P32,71,14
P33,50,20
P34,44,1
P35,17,12
P36,66,12
P37,59,5
P38,49,13
P39,35,5
P40,100,20
P41,48,1
P42,8,14
P43,32,5
P44,17,10
P45,13,17
P46,58,12
P47,47,4
P48,26,3
P49,30,5
P50,76,7
P51,13,13
P52,74,14
P53,28,4
P54,19,12
P55,16,1
P56,75,12
P57,21,19
P58,45,10
P59,40,15
P60,12,5
P61,26,13
P62,93,1
P63,48,11
P64,58,13
P65,17,19
P66,85,6
P67,4,4
P68,16,6
P69,67,6
P70,17,4
P71,10,3
P72,86,12
P73,79,19
P74,68,4
P75,13,1
P76,83,6
P77,49,10
P78,47,3
P79,84,5
P80,38,12
P81,70,20
P82,90,4
P83,56,5
P84,7,5
P85,0,1
P86,34,19
P87,0,8
P88,63,15
P89,8,12
P90,19,5
P91,86,14
P92,41,18
P93,86,16
P94,47,8
P95,48,19
P96,0,15
P97,17,6
P98,96,10
P99,31,20
