process,arrival_time,burst_time
P0,43,9
P1,35,16
P2,4,10
P3,4,11
P4,55,8
P5,87,12
P6,66,8
P7,40,11
P8,25,8
P9,55,1
P10,6,5
P11,84,17
P12,20,6
P13,53,20
P14,21,3
P15,42,20
P16,80,1
P17,57,10
P18,2,2
P19,94,4
P20,70,4
P21,89,4
P22,77,10
P23,2,18
P24,5,19
P25,29,14
P26,41,20
P27,0,20
P28,92,3
P29,33,5
P30,39,13
P31,95,4
P32,37,5
P33,85,13
P34,67,13
P35,42,15
P36,36,1
P37,94,12
P38,100,6
P39,89,17
P40,96,16
P41,6,7
P42,56,16
P43,100,9
P44,30,4
P45,0,9
P46,63,1
P47,35,6
P48,68,7
P49,53,16
P50,12,20
P51,97,2
P52,29,14
P53,84,11
P54,77,6
P55,96,6
P56,37,4
P57,36,5
P58,7,2
P59,34,13
P60,97,8
P61,54,8
P62,32,12
P63,72,5
P64,81,11
P65,52,12
P66,82,1
P67,70,8
P68,31,9
P69,12,13
P70,60,6
P71,4,4
P72,47,16
P73,5,4
P74,18,10
P75,34,19
P76,10,10
P77,67,13
P78,84,5
P79,11,2
P80,25,11
P81,44,2
P82,74,6
P83,3,19
P84,74,1
P85,47,12
P86,33,5
P87,52,17
P88,15,15
P89,41,6
P90,36,12
P91,94,16
P92,56,15
P93,93,1
P94,30,1
P95,42,7
P96,84,17
P97,74,5
P98,48,18
P99,66,19
