process,arrival_time,burst_time
P0,20,9
P1,57,17
P2,44,18
P3,5,8
P4,45,7
P5,67,4
P6,39,20
P7,10,7
P8,3,3
P9,28,17
P10,1,5
P11,66,3
P12,28,4
P13,7,19
P14,51,17
P15,78,19
P16,5,4
P17,56,1
P18,69,7
P19,85,9
P20,46,5
P21,34,16
P22,44,11
P23,17,2
P24,79,18
P25,60,6
P26,34,15
P27,29,17
P28,38,18
P29,67,14
P30,27,20
P31,1,20
P32,14,1
P33,33,19
P34,50,15
P35,84,11
P36,95,17
P37,58,3
P38,94,17
P39,88,15
P40,54,7
P41,53,19
P42,3,6
P43,46,11
P44,11,12
P45,2,13
P46,67,12
P47,20,10
P48,84,10
P49,77,19
P50,42,16
P51,92,2
P52,25,7
P53,1,9
P54,44,12
P55,38,19
P56,16,8
P57,17,7
P58,85,10
P59,28,1
P60,36,2
P61,4,12
P62,30,16
P63,44,6
P64,22,11
P65,27,9
P66,18,10
P67,92,11
P68,28,8
P69,55,11
P70,46,1
P71,73,5
P72,16,19
P73,19,11
P74,70,13
P75,9,18
P76,48,17
P77,83,4
P78,71,2
P79,49,14
P80,19,19
P81,5,7
P82,19,13
P83,37,3
P84,75,15
P85,94,15
P86,47,12
P87,56,4
P88,41,13
P89,60,11
P90,48,10
P91,48,16
P92,51,10
P93,18,11
P94,40,10
P95,51,13
P96,32,5
P97,31,20
P98,85,16
P99,34,4
