process,arrival_time,burst_time
P0,58,15
P1,9,14
P2,92,7
P3,64,9
P4,49,16
P5,48,11
P6,70,10
P7,64,13
P8,78,2
P9,16,19
P10,33,20
P11,66,17
P12,17,20
P13,40,9
P14,32,10
P15,95,18
P16,26,14
P17,10,13
P18,67,4
P19,52,8
P20,82,10
P21,79,1
P22,27,18
P23,5,14
P24,72,16
P25,23,5
P26,13,18
P27,2,1
P28,56,18
P29,19,6
P30,10,2
P31,98,1
P32,17,11
P33,12,2
P34,22,15
P35,54,6
P36,11,17
P37,86,11
P38,25,5
P39,31,8
P40,94,17
P41,68,12
P42,19,17
P43,5,13
P44,23,1
P45,87,8
P46,30,7
P47,0,8
P48,68,5
P49,57,1
P50,93,16
P51,40,18
P52,58,11
P53,98,11
P54,11,12
P55,41,5
P56,40,8
P57,52,9
P58,66,19
P59,36,7
P60,43,15
P61,34,12
P62,1,13
P63,83,10
P64,37,13
P65,38,17
P66,3,9
P67,12,6
P68,82,20
P69,77,10
P70,67,12
P71,17,5
P72,99,19
P73,21,2
P74,31,13
P75,45,3
P76,98,1
P77,95,13
P78,67,15
P79,27,17
P80,90,16
P81,36,1
P82,46,3
P83,38,18
P84,77,15
P85,52,5
P86,76,18
P87,72,14
P88,74,3
P89,4,6
P90,41,13
P91,11,8
P92,43,8
P93,35,16
P94,77,17
P95,94,20
P96,83,10
P97,56,3
P98,53,9
P99,47,9
