process,arrival_time,burst_time
P0,61,20
P1,39,17
P2,34,10
P3,30,18
P4,50,7
P5,11,5
P6,64,15
P7,31,19
P8,81,3
P9,56,18
P10,23,11
P11,18,1
P12,95,16
P13,5,7
P14,21,18
P15,3,12
P16,4,10
P17,98,18
P18,8,18
P19,100,2
P20,97,9
P21,76,4
P22,6,4
P23,72,13
P24,36,12
P25,89,1
P26,39,19
P27,75,1
P28,95,10
P29,94,20
P30,23,12
P31,35,11
P32,76,4
P33,40,17
P34,68,12
P35,88,15
P36,3,6
P37,1,11
P38,35,4
P39,34,16
P40,66,14
P41,13,8
P42,38,19
P43,26,7
P44,93,13
P45,35,12
P46,76,6
P47,91,18
P48,1,3
P49,11,20
P50,81,4
P51,81,4
P52,16,16
P53,64,9
P54,96,7
P55,69,17
P56,44,6
P57,11,7
P58,94,7
P59,78,3
P60,73,17
P61,7,18
P62,93,1
P63,92,7
P64,90,15
P65,65,13
P66,78,19
P67,11,16
P68,14,8
P69,39,19
P70,93,2
P71,3,13
P72,27,6
P73,70,7
P74,57,8
P75,77,5
P76,50,19
P77,78,6
P78,95,15
P79,6,19
P80,16,6
P81,81,20
P82,45,6
P83,85,2
P84,52,16
P85,59,13
P86,34,9
P87,27,18
P88,39,10
P89,23,7
P90,40,5
P91,52,5
P92,54,11
P93,2,19
P94,46,3
P95,49,16
P96,37,7
P97,91,16
P98,50,4
P99,6,15
