process,arrival_time,burst_time
P0,95,5
P1,57,9
P2,87,17
P3,34,15
P4,26,7
P5,15,8
P6,7,16
P7,64,6
P8,62,10
P9,28,19
P10,23,6
P11,77,8
P12,57,16
P13,37,10
P14,17,12
P15,62,19
P16,63,17
P17,63,7
P18,96,2
P19,74,2
P20,64,14
P21,80,5
P22,24,4
P23,69,13
P24,12,16
P25,81,14
P26,52,19
P27,0,20
P28,92,16
P29,50,13
P30,16,4
P31,61,3
P32,5,13
P33,15,8
P34,94,5
P35,85,14
P36,38,15
P37,92,2
P38,31,15
P39,56,12
P40,3,14
P41,0,12
P42,95,15
P43,99,12
P44,1,12
P45,78,17
P46,51,4
P47,65,4
P48,87,13
P49,24,1
P50,59,4
P51,92,2
P52,94,8
P53,4,14
P54,45,14
P55,95,15
P56,28,9
P57,92,1
P58,29,6
P59,89,12
P60,19,16
P61,92,13
P62,84,8
P63,13,10
P64,47,5
P65,97,13
P66,96,10
P67,72,3
P68,41,2
P69,8,2
P70,0,10
P71,2,7
P72,70,15
P73,24,6
P74,12,3
P75,13,7
P76,56,15
P77,64,14
P78,14,11
P79,21,13
P80,6,1
P81,35,14
P82,83,6
P83,16,19
P84,80,15
P85,75,20
P86,55,15
P87,62,19
P88,22,3
P89,13,2
P90,33,3
P91,81,5
P92,61,1
P93,16,15
P94,54,13
P95,85,2
P96,32,6
P97,8,17
P98,85,16
P99,8,14
