process,arrival_time,burst_time
P0,99,10
P1,61,3
P2,6,19
P3,34,13
P4,56,1
P5,19,5
P6,12,14
P7,10,10
P8,79,3
P9,31,10
P10,6,1
P11,31,11
P12,78,1
P13,54,6
P14,65,4
P15,82,9
P16,15,10
P17,94,7
P18,49,16
P19,46,9
P20,57,8
P21,49,1
P22,0,11
P23,70,9
P24,4,1
P25,74,3
P26,10,13
P27,90,11
P28,49,19
P29,65,2
P30,59,1
P31,67,4
P32,92,14
P33,26,13
P34,39,7
P35,13,17
P36,24,11
P37,1,19
P38,2,1
P39,89,16
P40,70,15
P41,13,8
P42,13,6
P43,97,2
P44,5,1
P45,58,5
P46,15,18
P47,77,7
P48,84,17
P49,14,1
P50,54,20
P51,97,7
P52,2,14
P53,77,3
P54,41,18
P55,49,10
P56,62,8
P57,58,13
P58,7,7
P59,2,5
P60,4,10
P61,30,20
P62,34,5
P63,24,3
P64,67,2
P65,23,8
P66,1,5
P67,48,10
P68,86,17
P69,40,16
P70,71,3
P71,47,19
P72,56,17
P73,92,17
P74,50,1
P75,7,3
P76,99,4
P77,75,2
P78,99,2
P79,72,18
P80,29,1
P81,59,5
P82,56,12
P83,10,1
P84,96,12
P85,62,12
P86,65,3
P87,92,1
P88,27,16
P89,50,19
P90,62,15
P91,36,3
P92,68,17
P93,2,10
P94,100,11
P95,84,7
P96,96,13
P97,19,10
P98,43,19
P99,13,3
