process,arrival_time,burst_time
P0,16,13
P1,59,13
P2,52,3
P3,40,17
P4,50,3
P5,8,8
P6,3,13
P7,3,14
P8,28,11
P9,92,1
P10,44,8
P11,45,19
P12,94,16
P13,47,16
P14,74,6
P15,80,15
P16,38,11
P17,29,13
P18,9,8
P19,55,2
P20,21,17
P21,60,7
P22,34,13
P23,1,14
P24,51,14
P25,83,19
P26,44,16
P27,34,3
P28,44,1
P29,44,14
P30,74,3
P31,65,7
P32,73,8
P33,56,17
P34,14,15
P35,19,16
P36,51,11
P37,57,13
P38,93,11
P39,73,19
P40,93,17
P41,18,15
P42,58,17
P43,99,16
P44,62,13
P45,41,9
P46,60,1
P47,42,6
P48,38,18
P49,19,19
P50,62,5
P51,5,17
P52,14,20
P53,54,11
P54,82,16
P55,64,16
P56,3,8
P57,96,19
P58,17,5
P59,43,3
P60,4,12
P61,45,20
P62,71,9
P63,61,16
P64,42,17
P65,24,15
P66,91,12
P67,79,11
P68,37,2
P69,99,5
P70,9,12
P71,52,9
P72,24,20
P73,65,7
P74,87,17
P75,40,3
P76,45,17
P77,74,3
P78,96,10
P79,41,1
P80,50,12
P81,2,20
P82,65,9
P83,52,14
P84,66,14
P85,17,14
P86,75,20
P87,37,15
P88,37,3
P89,46,9
P90,1,17
P91,80,1
P92,37,10
P93,19,5
P94,14,6
P95,47,7
P96,59,18
P97,55,20
P98,32,4
P99,60,15
