process,arrival_time,burst_time
P0,52,18
P1,91,13
P2,83,8
P3,94,11
P4,56,18
P5,90,12
P6,92,8
P7,18,12
P8,94,7
P9,70,2
P10,61,15
P11,22,5
P12,8,12
P13,48,3
P14,32,10
P15,32,12
P16,24,18
P17,74,18
P18,47,8
P19,51,14
P20,52,7
P21,0,3
P22,65,19
P23,8,20
P24,83,10
P25,57,18
P26,12,20
P27,44,16
P28,15,18
P29,87,15
P30,20,4
P31,77,15
P32,80,10
P33,18,5
P34,41,15
P35,48,8
P36,41,6
P37,37,6
P38,66,18
P39,39,12
P40,43,7
P41,52,18
P42,40,11
P43,11,19
P44,19,5
P45,86,18
P46,13,5
P47,73,4
P48,23,5
P49,78,10
P50,79,19
P51,8,15
P52,16,15
P53,67,18
P54,60,4
P55,99,2
P56,34,14
P57,66,18
P58,22,19
P59,59,1
P60,12,6
P61,16,4
P62,59,2
P63,72,17
P64,85,9
P65,40,16
P66,62,1
P67,50,3
P68,73,5
P69,38,3
P70,77,11
P71,61,1
P72,64,2
P73,15,5
P74,70,6
P75,24,6
P76,66,2
P77,0,2
P78,86,13
P79,31,12
P80,64,3
P81,37,15
P82,99,11
P83,100,6
P84,15,12
P85,48,4
P86,49,12
P87,2,4
P88,11,20
P89,37,6
P90,94,3
P91,9,8
P92,93,1
P93,34,16
P94,32,2
P95,82,15
P96,23,13
P97,28,15
P98,44,16
P99,50,15
