process,arrival_time,burst_time
P0,58,17
P1,72,2
P2,18,6
P3,56,18
P4,76,8
P5,6,7
P6,24,1
P7,56,9
P8,3,17
P9,15,5
P10,59,6
P11,47,20
P12,58,19
P13,92,11
P14,47,14
P15,79,14
P16,100,2
P17,75,7
P18,5,18
P19,38,15
P20,29,13
P21,79,4
P22,93,11
P23,8,4
P24,32,3
P25,0,18
P26,92,4
P27,65,8
P28,9,3
P29,29,17
P30,58,7
P31,7,8
P32,35,15
P33,61,20
P34,96,17
P35,69,19
P36,96,20
P37,96,12
P38,29,16
P39,99,9
P40,17,14
P41,7,8
P42,16,14
P43,95,1
P44,91,13
P45,10,9
P46,46,3
P47,9,18
P48,44,7
P49,72,7
P50,81,19
P51,76,14
P52,63,20
P53,18,4
P54,73,19
P55,39,7
P56,1,8
P57,17,1
P58,41,8
P59,62,2
P60,87,7
P61,72,13
P62,48,18
P63,18,18
P64,10,5
P65,3,18
P66,46,16
P67,20,2
P68,35,19
P69,67,3
P70,92,19
P71,87,8
P72,35,6
P73,14,1
P74,67,3
P75,82,10
P76,97,11
P77,31,14
P78,62,10
P79,25,11
P80,85,5
P81,80,19
P82,84,4
P83,71,7
P84,83,11
P85,20,3
P86,4,13
P87,69,20
P88,37,17
P89,70,19
P90,46,11
P91,89,19
P92,1,7
P93,56,8
P94,28,19
P95,62,18
P96,27,17
P97,82,9
P98,90,11
P99,15,4
