process,arrival_time,burst_time
P0,48,8
P1,94,7
P2,71,16
P3,96,20
P4,40,13
P5,78,16
P6,50,19
P7,48,15
P8,34,15
P9,42,9
P10,55,6
P11,71,4
P12,18,8
P13,45,18
P14,7,5
P15,37,10
P16,17,16
P17,74,14
P18,86,3
P19,27,10
P20,100,3
P21,12,3
P22,7,19
P23,29,4
P24,34,12
P25,34,18
P26,29,20
P27,41,17
P28,97,5
P29,28,15
P30,77,1
P31,62,6
P32,33,19
P33,53,13
P34,99,7
P35,89,10
P36,30,2
P37,10,10
P38,68,10
P39,31,5
P40,63,14
P41,3,6
P42,60,13
P43,44,11
P44,92,16
P45,67,6
P46,67,14
P47,54,18
P48,75,6
P49,77,11
P50,24,13
P51,87,19
P52,88,2
P53,38,10
P54,94,5
P55,7,15
P56,59,7
P57,62,7
P58,49,9
P59,77,3
P60,85,14
P61,9,1
P62,98,11
P63,61,17
P64,13,5
P65,28,9
P66,36,10
P67,16,5
P68,70,1
P69,12,14
P70,15,4
P71,50,10
P72,57,11
P73,95,13
P74,26,16
P75,42,15
P76,51,3
P77,75,8
P78,54,1
P79,63,8
P80,48,20
P81,68,1
P82,20,6
P83,93,18
P84,38,8
P85,87,9
P86,86,14
P87,50,16
P88,67,1
P89,6,18
P90,70,6
P91,27,3
P92,65,1
P93,63,20
P94,48,6
P95,3,16
P96,31,11
P97,8,15
P98,42,18
P99,87,1
