process,arrival_time,burst_time
P0,22,19
P1,26,10
P2,6,8
P3,84,13
P4,88,17
P5,76,12
P6,83,2
P7,58,19
P8,96,3
P9,16,20
P10,68,2
P11,84,19
P12,64,4
P13,15,16
P14,13,8
P15,24,6
P16,93,16
P17,89,14
P18,79,13
P19,33,14
P20,86,19
P21,15,16
P22,4,20
P23,74,17
P24,77,19
P25,91,7
P26,50,10
P27,41,15
P28,16,2
P29,82,20
P30,26,16
P31,59,5
P32,74,9
P33,48,17
P34,15,9
P35,54,12
P36,91,15
P37,2,8
P38,81,6
P39,10,9
P40,70,19
P41,61,18
P42,80,5
P43,100,16
P44,79,17
P45,47,10
P46,44,3
P47,72,1
P48,93,3
P49,19,15
P50,39,3
P51,68,1
P52,33,1
P53,26,8
P54,85,6
P55,92,9
P56,11,1
P57,79,14
P58,100,8
P59,23,20
P60,1,5
P61,61,3
P62,96,7
P63,98,20
P64,51,15
P65,50,19
P66,64,10
P67,36,4
P68,96,16
P69,49,20
P70,26,11
P71,43,19
P72,78,3
P73,52,19
P74,86,8
P75,84,2
P76,46,15
P77,96,10
P78,19,3
P79,11,16
P80,33,17
P81,40,10
P82,83,18
P83,52,8
P84,85,13
P85,36,5
P86,19,13
P87,21,5
P88,62,17
P89,42,1
P90,66,20
P91,42,12
P92,99,7
P93,97,11
P94,74,14
P95,3,6
P96,48,7
P97,96,12
P98,72,19
P99,90,3
