process,arrival_time,burst_time
P0,90,4
P1,99,16
P2,96,7
P3,3,2
P4,9,4
P5,67,15
P6,46,20
P7,39,7
P8,89,9
P9,91,10
P10,71,4
P11,33,5
P12,67,20
P13,31,19
P14,1,6
P15,82,18
P16,36,5
P17,10,8
P18,76,5
P19,22,4
P20,34,14
P21,62,5
P22,13,15
P23,80,3
P24,58,2
P25,85,20
P26,24,17
P27,45,14
P28,43,15
P29,66,20
P30,64,4
P31,90,7
P32,28,4
P33,48,14
P34,1,3
P35,16,18
P36,45,10
P37,38,12
P38,67,10
P39,52,8
P40,80,18
P41,37,12
P42,39,11
P43,64,1
P44,88,15
P45,26,6
P46,60,16
P47,49,17
P48,64,13
P49,44,1
P50,83,6
P51,60,14
P52,25,3
P53,67,17
P54,21,3
P55,33,7
P56,51,19
P57,72,16
P58,14,20
P59,95,3
P60,21,5
P61,64,16
P62,11,9
P63,62,5
P64,56,20
P65,33,18
P66,14,3
P67,79,19
P68,49,10
P69,39,19
P70,3,3
P71,47,8
P72,73,11
P73,21,4
P74,31,5
P75,49,10
P76,6,9
P77,90,15
P78,87,19
P79,99,19
P80,26,8
P81,26,3
P82,1,1
P83,19,5
P84,37,12
P85,7,12
P86,35,12
P87,31,18
P88,49,15
P89,50,11
P90,11,5
P91,9,10
P92,20,14
P93,40,1
P94,31,10
P95,29,6
P96,3,4
P97,10,12
P98,0,19
P99,85,7
