process,arrival_time,burst_time
P0,94,4
P1,75,7
P2,95,18
P3,78,8
P4,91,20
P5,82,7
P6,52,12
P7,85,19
P8,30,6
P9,50,16
P10,90,20
P11,26,3
P12,8,1
P13,39,15
P14,33,1
P15,32,11
P16,19,4
P17,75,14
P18,37,20
P19,92,13
P20,72,5
P21,89,4
P22,66,11
P23,3,19
P24,28,3
P25,6,8
P26,86,16
P27,98,12
P28,95,3
P29,68,13
P30,44,18
P31,73,1
P32,30,11
P33,57,11
P34,34,5
P35,96,12
P36,80,12
P37,37,18
P38,11,17
P39,62,19
P40,70,1
P41,4,2
P42,32,2
P43,54,19
P44,46,15
P45,89,2
P46,15,4
P47,64,10
P48,17,11
P49,40,13
P50,69,9
P51,86,5
P52,41,15
P53,27,16
P54,95,14
P55,42,9
P56,46,9
P57,3,17
P58,41,12
P59,98,4
P60,6,20
P61,1,8
P62,7,16
P63,70,16
P64,40,14
P65,81,8
P66,15,5
P67,20,2
P68,63,16
P69,60,7
P70,69,7
P71,6,19
P72,25,6
P73,100,6
P74,40,4
P75,28,15
P76,58,15
P77,23,10
P78,50,4
P79,29,2
P80,97,3
P81,78,3
P82,28,6
P83,88,1
P84,40,3
P85,57,14
P86,34,18
P87,93,14
P88,72,9
P89,40,15
P90,52,15
P91,84,8
P92,80,17
P93,14,6
P94,21,1
P95,59,6
P96,40,17
P97,33,4
P98,29,10
P99,18,16
