process,arrival_time,burst_time
P0,100,4
P1,0,2
P2,56,18
P3,62,12
P4,72,5
P5,14,5
P6,14,14
P7,80,18
P8,54,13
P9,88,1
P10,69,15
P11,32,2
P12,17,5
P13,53,9
P14,73,14
P15,87,11
P16,38,13
P17,4,6
P18,56,14
P19,55,12
P20,81,20
P21,82,16
P22,54,13
P23,69,7
P24,46,17
P25,18,1
P26,34,20
P27,11,11
P28,73,6
P29,12,7
P30,44,10
P31,46,18
P32,26,9
P33,2,4
P34,85,20
P35,98,11
P36,99,4
P37,48,20
P38,48,8
P39,99,3
P40,43,1
P41,91,3
P42,93,10
P43,18,20
P44,8,18
P45,75,19
P46,25,8
P47,33,20
P48,83,4
P49,3,8
P50,10,8
P51,85,3
P52,74,16
P53,15,5
P54,27,13
P55,54,18
P56,22,16
P57,26,1
P58,56,12
P59,16,3
P60,83,15
P61,4,15
P62,27,12
P63,46,18
P64,89,6
P65,15,3
P66,54,11
P67,19,11
P68,31,9
P69,37,1
P70,30,7
P71,69,7
P72,11,19
P73,85,7
P74,63,2
P75,90,13
P76,49,19
P77,95,8
P78,16,8
P79,6,11
P80,9,6
P81,82,4
P82,83,11
P83,84,16
P84,97,17
P85,40,16
P86,96,2
P87,95,12
P88,100,1
P89,50,13
P90,54,5
P91,55,2
P92,75,3
P93,51,14
P94,42,10
P95,53,11
P96,6,1
P97,55,11
P98,42,1
P99,5,10
