process,arrival_time,burst_time
P0,22,15
P1,89,12
P2,5,6
P3,78,11
P4,13,15
P5,49,9
P6,76,19
P7,13,2
P8,3,3
P9,95,5
P10,52,13
P11,93,3
P12,29,3
P13,90,4
P14,44,8
P15,53,20
P16,96,4
P17,13,11
P18,70,11
P19,94,14
P20,23,3
P21,30,2
P22,96,17
P23,90,1
P24,65,6
P25,96,14
P26,82,1
P27,69,8
P28,36,10
P29,45,4
P30,99,20
P31,29,4
P32,78,13
P33,49,1
P34,45,9
P35,31,5
P36,25,3
P37,70,15
P38,1,17
P39,49,18
P40,14,9
P41,28,13
P42,84,3
P43,60,11
P44,44,15
P45,33,20
P46,50,17
P47,37,12
P48,80,17
P49,96,16
P50,7,15
P51,99,3
P52,55,5
P53,30,1
P54,40,10
P55,33,18
P56,77,8
P57,44,7
P58,48,18
P59,99,4
P60,40,11
P61,67,19
P62,0,12
P63,85,18
P64,54,8
P65,41,11
P66,2,10
P67,88,10
P68,59,5
P69,15,11
P70,50,18
P71,50,10
P72,71,20
P73,38,5
P74,59,1
P75,61,4
P76,11,17
P77,9,1
P78,6,12
P79,44,8
P80,47,1
P81,23,5
P82,67,4
P83,86,13
P84,75,7
P85,56,7
P86,98,4
P87,88,2
P88,32,11
P89,30,4
P90,30,8
P91,66,10
P92,79,9
P93,52,3
P94,6,5
P95,36,18
P96,43,13
P97,6,15
P98,20,14
P99,43,17
