process,arrival_time,burst_time
P0,4,15
P1,90,18
P2,67,7
P3,34,8
P4,7,15
P5,20,15
P6,55,20
P7,85,3
P8,93,12
P9,67,17
P10,13,7
P11,38,17
P12,49,4
P13,7,20
P14,96,17
P15,86,4
P16,82,1
P17,51,13
P18,21,5
P19,92,17
P20,59,7
P21,53,17
P22,14,18
P23,40,12
P24,80,3
P25,88,18
P26,75,16
P27,3,11
P28,19,11
P29,74,20
P30,87,7
P31,95,17
P32,85,6
P33,13,16
P34,26,13
P35,68,18
P36,55,7
P37,50,3
P38,71,11
P39,56,16
P40,1,18
P41,36,18
P42,7,19
P43,1,9
P44,1,7
P45,59,13
P46,55,10
P47,79,7
P48,39,4
P49,63,3
P50,1,15
P51,12,15
P52,34,18
P53,75,2
P54,62,6
P55,74,14
P56,0,18
P57,0,16
P58,28,10
P59,94,1
P60,51,18
P61,59,10
P62,91,19
P63,91,4
P64,71,14
P65,76,19
P66,61,8
P67,56,13
P68,5,9
P69,40,20
P70,51,9
P71,53,12
P72,28,18
P73,6,6
P74,51,12
P75,85,7
P76,36,7
P77,4,9
P78,49,7
P79,34,19
P80,11,20
P81,10,9
P82,24,6
P83,45,5
P84,20,5
P85,24,6
P86,39,14
P87,48,7
P88,48,18
P89,61,10
P90,21,13
P91,80,9
P92,6,17
P93,5,5
P94,28,13
P95,75,10
P96,29,9
P97,89,11
P98,81,11
P99,58,7
