process,arrival_time,burst_time
P0,20,18
P1,5,20
P2,33,5
P3,27,2
P4,32,3
P5,1,1
P6,70,17
P7,36,9
P8,67,18
P9,83,11
P10,29,20
P11,77,3
P12,32,16
P13,17,17
P14,63,14
P15,95,17
P16,81,17
P17,47,9
P18,32,20
P19,66,15
P20,59,2
P21,46,9
P22,13,8
P23,99,8
P24,11,14
P25,91,1
P26,74,10
P27,14,11
P28,40,5
P29,63,17
P30,61,8
P31,49,6
P32,46,6
P33,63,14
P34,19,17
P35,31,5
P36,9,12
P37,67,13
P38,16,1
P39,61,20
P40,48,17
P41,28,18
P42,79,10
P43,54,5
P44,70,5
P45,36,3
P46,94,7
P47,73,14
P48,70,16
P49,13,19
P50,44,4
P51,89,19
P52,28,20
P53,30,20
P54,23,1
P55,90,13
P56,82,12
P57,93,3
P58,21,9
P59,63,7
P60,42,13
P61,36,7
P62,22,3
P63,40,4
P64,18,1
P65,25,12
P66,99,20
P67,87,7
P68,85,14
P69,93,13
P70,12,17
P71,34,3
P72,97,16
P73,82,6
P74,96,17
P75,4,7
P76,33,9
P77,12,11
P78,23,10
P79,35,11
P80,79,4
P81,13,4
P82,85,5
P83,52,1
P84,38,18
P85,31,11
P86,5,6
P87,14,9
P88,15,20
P89,70,9
P90,69,4
P91,48,20
P92,96,20
P93,88,18
P94,39,14
P95,22,8
P96,84,13
P97,90,6
P98,79,1
P99,51,2
