process,arrival_time,burst_time
P0,8,17
P1,13,3
P2,55,17
P3,13,5
P4,99,2
P5,18,20
P6,16,7
P7,68,6
P8,100,15
P9,35,20
P10,96,1
P11,28,17
P12,85,7
P13,69,10
P14,92,19
P15,7,14
P16,45,7
P17,36,1
P18,65,9
P19,21,17
P20,91,5
P21,62,9
P22,84,19
P23,91,3
P24,56,6
P25,35,2
P26,6,15
P27,57,2
P28,97,12
P29,89,19
P30,24,4
P31,96,2
P32,3,3
P33,81,8
P34,82,10
P35,48,9
P36,9,13
P37,14,4
P38,10,8
P39,30,6
P40,20,11
P41,15,7
P42,3,2
P43,45,2
P44,13,15
P45,92,12
P46,9,15
P47,50,4
P48,91,4
P49,29,19
P50,97,10
P51,9,19
P52,34,8
P53,6,13
P54,91,16
P55,43,13
P56,57,19
P57,48,18
P58,23,19
P59,21,5
P60,8,5
P61,70,2
P62,30,5
P63,52,3
P64,28,3
P65,44,13
P66,14,2
P67,14,10
P68,40,16
P69,88,20
P70,94,3
P71,93,19
P72,85,19
P73,30,8
P74,2,2
P75,40,3
P76,3,3
P77,57,17
P78,54,16
P79,71,10
P80,28,12
P81,1,19
P82,90,6
P83,7,19
P84,77,10
P85,74,3
P86,58,10
P87,69,9
P88,71,9
P89,58,1
P90,40,20
P91,11,1
P92,73,2
P93,23,8
P94,100,14
P95,64,17
P96,23,8
P97,92,20
P98,93,5
P99,79,14
