process,arrival_time,burst_time
P0,21,10
P1,23,12
P2,38,4
P3,12,6
P4,5,6
P5,88,14
P6,23,15
P7,95,9
P8,87,19
P9,23,10
P10,50,11
P11,84,15
P12,65,10
P13,88,13
P14,49,3
P15,69,16
P16,77,13
P17,59,14
P18,100,14
P19,60,3
P20,99,9
P21,6,20
P22,100,12
P23,77,12
P24,28,15
P25,63,14
P26,100,18
P27,60,6
P28,60,12
P29,46,7
P30,25,7
P31,14,8
P32,97,14
P33,9,14
P34,28,14
P35,13,6
P36,70,2
P37,60,18
P38,13,19
P39,33,1
P40,22,17
P41,24,19
P42,70,19
P43,22,4
P44,49,16
P45,82,10
P46,41,4
P47,66,12
P48,6,4
P49,49,15
P50,11,18
P51,46,4
P52,32,19
P53,35,7
P54,31,20
P55,92,15
P56,3,1
P57,21,9
P58,18,5
P59,38,16
P60,39,19
P61,57,6
P62,77,10
P63,29,19
P64,44,15
P65,23,1
P66,52,3
P67,81,14
P68,3,6
P69,61,14
P70,35,20
P71,79,11
P72,100,5
P73,64,4
P74,96,10
P75,98,10
P76,40,14
P77,69,17
P78,54,19
P79,31,18
P80,5,12
P81,81,16
P82,82,3
P83,92,4
P84,50,18
P85,28,18
P86,30,12
P87,99,1
P88,10,3
P89,82,10
P90,79,7
P91,49,6
P92,57,3
P93,5,17
P94,29,3
P95,47,17
P96,2,6
P97,41,4
P98,55,5
P99,49,15
