process,arrival_time,burst_time
P0,100,9
P1,21,7
P2,17,8
P3,4,15
P4,100,9
P5,44,13
P6,65,15
P7,79,9
P8,11,12
P9,81,1
P10,88,9
P11,89,9
P12,88,6
P13,33,10
P14,30,8
P15,34,12
P16,21,4
P17,99,2
P18,90,17
P19,24,8
P20,40,9
P21,23,2
P22,35,6
P23,33,6
P24,88,2
P25,23,18
P26,9,15
P27,62,20
P28,36,8
P29,53,9
P30,81,9
P31,5,17
P32,18,19
P33,26,12
P34,67,17
P35,76,4
P36,84,5
P37,48,19
P38,100,4
P39,97,3
P40,20,18
P41,58,2
P42,51,9
P43,13,20
P44,82,15
P45,45,1
P46,47,14
P47,19,11
P48,13,10
P49,9,19
P50,83,9
P51,23,7
P52,30,14
P53,49,7
P54,59,16
P55,31,14
P56,4,14
P57,21,16
P58,27,6
P59,27,7
P60,55,11
P61,1,1
P62,98,1
P63,40,20
P64,26,7
P65,67,5
P66,42,19
P67,56,11
P68,79,16
P69,1,16
P70,33,6
P71,38,15
P72,57,1
P73,77,7
P74,36,16
P75,26,17
P76,91,3
P77,1,4
P78,41,8
P79,63,19
P80,25,8
P81,95,14
P82,39,13
P83,23,5
P84,49,19
P85,80,16
P86,99,14
P87,73,6
P88,87,17
P89,29,14
P90,77,17
P91,45,9
P92,52,13
P93,18,14
P94,57,18
P95,41,9
P96,46,18
P97,77,9
P98,69,5
P99,45,7
