process,arrival_time,burst_time
P0,98,19
P1,28,1
P2,89,3
P3,47,3
P4,42,3
P5,66,20
P6,27,5
P7,38,18
P8,18,16
P9,84,5
P10,85,14
P11,64,4
P12,25,6
P13,29,15
P14,7,10
P15,17,5
P16,58,14
P17,80,15
P18,61,10
P19,20,8
P20,7,6
P21,78,17
P22,43,9
P23,11,18
P24,2,17
P25,24,16
P26,13,10
P27,72,19
P28,55,1
P29,84,15
P30,7,14
P31,28,4
P32,37,12
P33,6,5
P34,43,11
P35,47,19
P36,43,11
P37,16,12
P38,99,3
P39,27,18
P40,68,15
P41,78,9
P42,84,19
P43,28,8
P44,48,18
P45,66,13
P46,2,7
P47,76,10
P48,83,19
P49,19,7
P50,5,3
P51,77,14
P52,25,13
P53,5,19
P54,97,16
P55,40,11
P56,66,1
P57,54,9
P58,1,8
P59,90,6
P60,1,12
P61,47,16
P62,77,10
P63,3,15
P64,87,15
P65,55,19
P66,42,2
P67,25,20
P68,54,2
P69,1,7
P70,66,7
P71,67,12
P72,36,14
P73,78,13
P74,12,14
P75,12,14
P76,98,20
P77,98,3
P78,75,7
P79,5,11
P80,97,17
P81,34,5
P82,29,19
P83,98,8
P84,90,11
P85,20,6
P86,33,10
P87,70,4
P88,69,20
P89,61,10
P90,6,13
P91,67,2
P92,37,4
P93,84,3
P94,71,3
P95,36,20
P96,9,16
P97,39,7
P98,62,2
P99,80,2
