process,arrival_time,burst_time
P0,79,10
P1,89,15
P2,55,17
P3,45,14
P4,29,12
P5,89,7
P6,50,3
P7,23,2
P8,30,9
P9,26,12
P10,41,4
P11,66,17
P12,42,17
P13,84,7
P14,25,4
P15,60,6
P16,46,4
P17,89,18
P18,78,13
P19,58,13
P20,53,2
P21,2,14
P22,76,13
P23,35,20
P24,70,3
P25,51,4
P26,6,17
P27,53,15
P28,40,7
P29,38,10
P30,35,16
P31,24,16
P32,83,18
P33,76,1
P34,5,20
P35,55,2
P36,16,1
P37,73,8
P38,26,15
P39,19,2
P40,49,15
P41,28,13
P42,33,8
P43,98,13
P44,33,7
P45,85,18
P46,62,17
P47,37,8
P48,34,9
P49,83,8
P50,51,7
P51,29,2
P52,49,13
P53,91,10
P54,29,18
P55,58,3
P56,91,19
P57,72,12
P58,9,2
P59,16,18
P60,45,17
P61,86,10
P62,29,5
P63,59,13
P64,60,8
P65,78,13
P66,3,10
P67,96,10
P68,93,7
P69,39,13
P70,79,13
P71,37,4
P72,59,16
P73,22,14
P74,75,3
P75,38,14
P76,80,1
P77,72,15
P78,56,7
P79,75,9
P80,12,11
P81,62,4
P82,93,17
P83,18,16
P84,35,15
P85,71,14
P86,68,9
P87,25,7
P88,73,18
P89,100,16
P90,57,19
P91,66,2
P92,25,7
P93,61,12
P94,11,2
P95,69,20
P96,6,5
P97,12,11
P98,84,20
P99,84,1
