process,arrival_time,burst_time
P0,79,14
P1,73,4
P2,36,16
P3,15,3
P4,35,10
P5,29,4
P6,94,11
P7,18,1
P8,44,11
P9,80,3
P10,14,6
P11,80,13
P12,70,3
P13,44,10
P14,88,3
P15,10,18
P16,88,7
P17,63,1
P18,9,18
P19,53,12
P20,28,1
P21,88,5
P22,8,14
P23,59,5
P24,82,9
P25,40,5
P26,58,14
P27,97,5
P28,82,18
P29,61,20
P30,26,10
P31,67,13
P32,30,8
P33,24,3
P34,10,20
P35,0,13
P36,86,5
P37,97,14
P38,49,1
P39,50,4
P40,30,19
P41,24,17
P42,78,17
P43,44,4
P44,19,7
P45,3,14
P46,47,9
P47,23,11
P48,13,17
P49,59,2
P50,87,4
P51,62,17
P52,80,2
P53,5,5
P54,28,8
P55,48,2
P56,91,4
P57,67,10
P58,71,13
P59,8,11
P60,93,6
P61,14,19
P62,58,9
P63,21,18
P64,28,2
P65,98,9
P66,68,20
P67,35,10
P68,91,18
P69,43,6
P70,46,2
P71,47,6
P72,86,13
P73,95,6
P74,94,5
P75,50,4
P76,91,8
P77,7,15
P78,47,4
P79,85,4
P80,78,4
P81,78,16
P82,38,20
P83,19,14
P84,70,13
P85,71,5
P86,32,9
P87,60,15
P88,98,3
P89,34,11
P90,70,6
P91,45,3
P92,19,10
P93,81,12
P94,47,3
P95,41,6
P96,50,4
P97,28,1
P98,72,20
P99,29,18
