process,arrival_time,burst_time
P0,6,5
P1,84,13
P2,45,19
P3,92,4
P4,30,20
P5,61,11
P6,94,3
P7,56,19
P8,71,2
P9,26,13
P10,0,5
P11,0,2
P12,44,19
P13,5,4
P14,33,4
P15,38,17
P16,53,3
P17,35,15
P18,77,11
P19,29,4
P20,49,5
P21,53,15
P22,65,9
P23,67,11
P24,11,10
P25,79,5
P26,60,11
P27,83,13
P28,95,15
P29,9,13
P30,97,19
P31,39,7
P32,48,12
P33,79,8
P34,29,4
P35,81,12
P36,74,5
P37,4,12
P38,75,3
P39,3,11
P40,82,14
P41,61,2
P42,87,14
P43,46,1
P44,46,13
P45,46,8
P46,29,7
P47,0,7
P48,90,8
P49,18,11
P50,57,18
P51,91,15
P52,92,7
P53,69,4
P54,40,2
P55,98,13
P56,84,20
P57,81,17
P58,94,9
P59,52,3
P60,45,9
P61,47,16
P62,23,3
P63,18,6
P64,9,19
P65,80,10
P66,53,10
P67,53,3
P68,29,10
P69,70,9
P70,18,2
P71,28,20
P72,93,18
P73,31,4
P74,68,17
P75,88,15
P76,42,10
P77,91,5
P78,58,15
P79,9,7
P80,89,8
P81,38,5
P82,66,17
P83,7,15
P84,77,11
P85,88,1
P86,54,6
P87,55,3
P88,52,4
P89,53,18
P90,97,20
P91,82,10
P92,94,16
P93,62,14
P94,8,3
P95,34,17
P96,73,9
P97,15,8
P98,74,11
P99,68,6
